ごしゃぐ,1286,1286,-32768,ごしゃぐ,動詞,,,不変,,方言,ゴシャグ,怒る,146,*,*,*,*
ごしゃげる,1286,1286,-32768,ごしゃげる,動詞,,,不変,,方言,ゴシャゲル,腹が立つ、頭にくる,147,*,*,*,*
ごっしゃぐ,1286,1286,-32768,ごっしゃぐ,動詞,,,不変,,方言,ゴッシャグ,怒る,148,*,*,*,*
こっちょがす,1286,1286,-32768,こっちょがす,動詞,,,不変,,方言,コッチョガス,くすぐる,149,*,*,*,*
こね,1286,1286,-32768,こね,動詞,,,不変,,方言,コネ,来ません,150,*,*,*,*
こねが,1286,1286,-32768,こねが,動詞,,,不変,,方言,コネガ,来ませんか,151,*,*,*,*
こねず,1286,1286,-32768,こねず,動詞,,,不変,,方言,コネズ,きません,152,*,*,*,*
こねなが,1286,1286,-32768,こねなが,動詞,,,不変,,方言,コネナガ,来ないのですか,153,*,*,*,*
こねべ,1286,1286,-32768,こねべ,動詞,,,不変,,方言,コネベ,来ないんじゃないの,154,*,*,*,*
ごはんだし,913,913,-32768,ごはんだし,動詞,さ変可能,,,,方言,ゴハンダシ,食事のしたくをする,155,*,*,*,*
こまんず,1286,1286,-32768,こまんず,動詞,,,不変,,方言,コマンズ,困ります,156,*,*,*,*
これはしたり,1286,1286,-32768,これはしたり,動詞,,,不変,,方言,コレハシタリ,これはまいった,157,*,*,*,*
こわい,1286,1286,-32768,こわい,動詞,,,不変,,方言,コワイ,疲れた,158,*,*,*,*
こわくて,1286,1286,-32768,こわくて,動詞,,,不変,,方言,コワクテ,疲れて,159,*,*,*,*
ごんざい,1286,1286,-32768,ごんざい,動詞,,,不変,,方言,ゴンザイ,来てね,160,*,*,*,*
ごんざえ,1286,1286,-32768,ごんざえ,動詞,,,不変,,方言,ゴンザエ,たべにきてください,161,*,*,*,*
ざげる,1286,1286,-32768,ざげる,動詞,,,不変,,方言,ザゲル,雪がゆるむ,162,*,*,*,*
さだす,913,913,-32768,さだす,動詞,さ変,,,,方言,サダス,用便させる,163,*,*,*,*
さっちぇも,1286,1286,-32768,さっちぇも,動詞,不規則,,,,方言,サッチェモ,されても,164,*,*,*,*
さっちゃ,1286,1286,-32768,さっちゃ,動詞,,,不変,,方言,サッチャ,できた,165,*,*,*,*
さっちゃが,1286,1286,-32768,さっちゃが,動詞,,,不変,,方言,サッチャガ,できたか,166,*,*,*,*
さなんね,1286,1286,-32768,さなんね,動詞,不規則,,,,方言,サナンネ,しなければならない,167,*,*,*,*
さなんねず,1286,1286,-32768,さなんねず,動詞,不規則,,,,方言,サナンネズ,しなければならない,168,*,*,*,*
さなんねぞ,1286,1286,-32768,さなんねぞ,動詞,,,不変,,方言,サナンネゾ,しなさい,169,*,*,*,*
さなんねべ,1286,1286,-32768,さなんねべ,動詞,,,不変,,方言,サナンネベ,した方が良いですね,170,*,*,*,*
されっか,1286,1286,-32768,されっか,動詞,,,不変,,方言,サレッカ,できますか,171,*,*,*,*
されっぺ,1286,1286,-32768,されっぺ,動詞,,,不変,,方言,サレッペ,しなさい,172,*,*,*,*
される,1286,1286,-32768,される,動詞,,,不変,,方言,サレル,できます,173,*,*,*,*
されんず,1286,1286,-32768,されんず,動詞,,,不変,,方言,サレンズ,できるよ,174,*,*,*,*
ざわざわする,1286,1286,-32768,ざわざわする,動詞,不規則,,,,方言,ザワザワスル,背筋が寒くなる,175,*,*,*,*
さわす,1286,1286,-32768,さわす,動詞,不規則,,,,方言,サワス,渋柿の渋を抜く,176,*,*,*,*
ざわっとする,1286,1286,-32768,ざわっとする,動詞,不規則,,,,方言,ザワットスル,恐ろしくなる,177,*,*,*,*
さんなね,1286,1286,-32768,さんなね,動詞,不規則,,,,方言,サンナネ,しなければならない,178,*,*,*,*
さんに,1286,1286,-32768,さんに,動詞,,,不変,,方言,サンニ,できない,179,*,*,*,*
さんにぇ,1286,1286,-32768,さんにぇ,動詞,,,不変,,方言,サンネェ,できない,180,*,*,*,*
さんにず,1286,1286,-32768,さんにず,動詞,,,不変,,方言,サンニズ,できません,181,*,*,*,*
さんにっ,1286,1286,-32768,さんにっ,動詞,不規則,,,,方言,サンニッ,してはいけないです,182,*,*,*,*
ししゃね,1286,1286,-32768,ししゃね,動詞,,,不変,,方言,シシャネ,知らない,183,*,*,*,*
ししゃます,1286,1286,-32768,ししゃます,動詞,,,不変,,方言,シシャマス,困ってしまう,184,*,*,*,*
しっとぼった,1286,1286,-32768,しっとぼった,動詞,不規則,,,,方言,シット ボッタ,雪が締まった,185,*,*,*,*
してけっか,1286,1286,-32768,してけっか,動詞,不規則,,,,方言,シテケッカ,してもらえますか,186,*,*,*,*
してけんにが,1286,1286,-32768,してけんにが,動詞,不規則,,,,方言,シテケンニガ,してくれませんか,187,*,*,*,*
してんな,1286,1286,-32768,してんな,動詞,,,不変,,方言,シテンナ,やめなさい,188,*,*,*,*
しなくたんね,1286,1286,-32768,しなくたんね,動詞,不規則,,,,方言,シナクタンネ,しなければならない,189,*,*,*,*
しなこい,1286,1286,-32768,しなこい,動詞,,,不変,,方言,シナコイ,湿気っている,190,*,*,*,*
しなんね,1286,1286,-32768,しなんね,動詞,不規則,,,,方言,シナンネ,しなければならない,191,*,*,*,*
しなんねぞ,1286,1286,-32768,しなんねぞ,動詞,,,不変,,方言,シナンネゾ,しなさい,192,*,*,*,*
しなんねべ,1286,1286,-32768,しなんねべ,動詞,不規則,,,,方言,シナンネベ,した方が良いですね,193,*,*,*,*
しね,1286,1286,-32768,しね,動詞,,,不変,,方言,シネ,しません,194,*,*,*,*
しねでけろ,1286,1286,-32768,しねでけろ,動詞,不規則,,,,方言,シネデケロ,しないでください,195,*,*,*,*
しびっちゃ,1286,1286,-32768,しびっちゃ,動詞,,,不変,,方言,シビッチャ,しびれた,196,*,*,*,*
しゃあまし,1286,1286,-32768,しゃあまし,動詞,動詞,,,,方言,シャアマシ,持て余し,197,*,*,*,*
しゃーまし,1286,1286,-32768,しゃーまし,動詞,動詞,,,,方言,シャーマシ,持て余し,198,*,*,*,*
しゃっぱぐれる,1286,1286,-32768,しゃっぱぐれる,動詞,,,不変,,方言,シャッパグレル,しらばくれる,199,*,*,*,*
じゃなる,1286,1286,-32768,じゃなる,動詞,,,不変,,方言,ジャナル,わめく,200,*,*,*,*
じゃなる,1286,1286,-32768,じゃなる,動詞,,,不変,,方言,ジャナル,叫ぶ,201,*,*,*,*
しゃね,1286,1286,-32768,しゃね,動詞,,,不変,,方言,シャネ,知らない,202,*,*,*,*
じゃみらっちゃ,1286,1286,-32768,じゃみらっちゃ,動詞,,,不変,,方言,ジャミラッチャ,文句を言われた,203,*,*,*,*
じゃみる,1286,1286,-32768,じゃみる,動詞,,,不変,,方言,ジャ ミル,泣き叫ぶ,204,*,*,*,*
じゃらげる,1286,1286,-32768,じゃらげる,動詞,,,不変,,方言,ジャラゲル,遊ぶ,205,*,*,*,*
