置賜弁テスト,1,1,-32768,見出し結果表示,品詞1,品詞2,品詞3,品詞4,品詞9(活用形),品詞10(活用形),ヨミ,正規化表記,*,*,*,*,*
めっこ,5160,5160,-32768,めっこ,形容詞,,,,,方言,メッコ,硬い,101,*,*,*,*
めっちゃこい,5160,5160,-32768,めっちゃこい,形容詞,,,,,方言,メッチャ コイ,小さい,102,*,*,*,*
めんごい,5160,5160,-32768,めんごい,形容詞,,,,,方言,メンゴイ,かわいい,103,*,*,*,*
めんごこい,5160,5160,-32768,めんごこい,形容詞,,,,,方言,メンゴコイ,かわいい,104,*,*,*,*
めんどうして,5160,5160,-32768,めんどうして,形容詞,,,,,方言,メンドウシテ,面倒臭い,105,*,*,*,*
めんどぐさい,5160,5160,-32768,めんどぐさい,形容詞,,,,,方言,メンドグサイ,面倒臭い,106,*,*,*,*
もごさい,5139,5139,-32768,もごさい,形容詞,助詞,,,,方言,モゴサイ,かわいそう,107,*,*,*,*
やえぐり,5160,5160,-32768,やえぐり,形容詞,,,,,方言,ヤエグリ,遠い,108,*,*,*,*
やえぐり,5160,5160,-32768,やえぐり,形容詞,,,,,方言,ヤエグリ,多い,109,*,*,*,*
やえぐり,5160,5160,-32768,やえぐり,形容詞,,,,,方言,ヤエグリ,長い,110,*,*,*,*
やがましっ,5160,5160,-32768,やがましっ,形容詞,,,,,方言,ヤガマシッ,うるさいっ,111,*,*,*,*
やがんしぇ,5160,5160,-32768,やがんしぇ,形容詞,,,,,方言,ヤ ガンシェ,うるさい,112,*,*,*,*
やっこい,5160,5160,-32768,やっこい,形容詞,,,,,方言,ヤッコイ,やわらかい,113,*,*,*,*
わがんね,5160,5160,-32768,わがんね,形容詞,,,,,方言,ワガンネ,分からない,114,*,*,*,*
んまい,5160,5160,-32768,んまい,形容詞,,,,,方言,ンマイ,美味しい,115,*,*,*,*
んまぐ,5160,5160,-32768,んまぐない,形容詞,,,,,方言,ンマグナイ,美味しく,116,*,*,*,*
んめ,5160,5160,-32768,んめ,形容詞,,,,,方言,ンメ,おいしい,117,*,*,*,*
んめぐね,5160,5160,-32768,んめぐね,形容詞,,,,,方言,ンメグネ,おいしくない,118,*,*,*,*
こどい,5160,5160,-32768,こどい,形容詞,,,,不変,方言,コドイ,濃い,119,*,*,*,*
さ,661,661,-32768,さ,助詞,格助詞,,,格助詞,方言,サ,に,*,*,*,*,*
ほだ,661,661,-32768,ほだ,助詞,,,,,方言,ホダ,そうだ,*,*,*,*,*
んだ,400,400,-32768,んだ,助詞,助動詞,,,不変,方言,ンダ,そう,*,*,*,*,*
んだが,100,100,-32768,んだが,助詞,助動詞,,,不変,方言,ンダガ,そうですか,*,*,*,*,*
んだがら,100,100,-32768,んだがら,助詞,助動詞,,,不変,方言,ンダガラ,そうだから,*,*,*,*,*
んだげんども,100,100,-32768,んだげんども,助詞,助動詞,,,不変,方言,ンダゲンドモ,そうだけれども,*,*,*,*,*
んだごで,100,100,-32768,んだごで,助詞,助動詞,,,不変,方言,ンダゴデ,そうだ,*,*,*,*,*
んだっそ,100,100,-32768,んだっそ,助詞,助動詞,,,不変,方言,んだっそ,そうだ,*,*,*,*,*
んだごでな,100,100,-32768,んだごでな,助詞,助動詞,,,不変,方言,ンダゴデナ,そうだ,*,*,*,*,*
んださ,100,100,-32768,んださ,助詞,助動詞,,,不変,方言,ンダサ,そうです,*,*,*,*,*
んだず,100,100,-32768,んだず,助詞,助動詞,,,不変,方言,ンダズ,そうだね,*,*,*,*,*
んだった,100,100,-32768,んだった,助詞,助動詞,,,不変,方言,ンダッタ,そうだった,*,*,*,*,*
んだでねえべが,100,100,-32768,んだでねえべが,助詞,助動詞,,,不変,方言,ンダデネエベガ,そうじゃないでしょうか,*,*,*,*,*
んだな,100,100,-32768,んだな,助詞,助動詞,,,不変,方言,ンダナ,そうだね,*,*,*,*,*
んだなが,100,100,-32768,んだなが,助詞,助動詞,,,不変,方言,ンダナガ,そうなのか,*,*,*,*,*
んだなっし,100,100,-32768,んだなっし,助詞,助動詞,,,不変,方言,ンダナッシ,そうですね,*,*,*,*,*
んだべ,100,100,-32768,んだべ,助詞,助動詞,,,不変,方言,ンダベ,そうでしょう,*,*,*,*,*
んだべした,100,100,-32768,んだべした,助詞,助動詞,,,不変,方言,ンダベシタ,そうでしょう,*,*,*,*,*
んだべっしゃ,100,100,-32768,んだべっしゃ,助詞,助動詞,,,不変,方言,ンダベッシャ,そうでしょう,*,*,*,*,*
たて,661,661,-32768,たて,助詞,,,,,方言,タテ,ても,*,*,*,*,*
な,661,661,-32768,な,助詞,終助詞,,,,方言,ナ,ね,*,*,*,*,*
ず,661,661,-32768,ず,助詞,終助詞,,,,方言,ズ,よ,*,*,*,*,*
さ,661,661,-32768,さ,助詞,格助詞,,,不変,方言,サ,に,*,*,*,*,*
よっか,661,661,-32768,よっか,助詞,格助詞,,,,方言,ヨッカ,より,*,*,*,*,*
よっかも,661,661,-32768,よっかも,助詞,格助詞,,,,方言,ヨッカモ,よりも,*,*,*,*,*
あっか,9,9,-32768,あっか,助動詞,,,,,方言,アッカ,ありますか,*,*,*,*,*
てぇ,9,9,-32768,てぇ,助動詞,,,,,方言,タイ,たい,*,*,*,*,*
でぇ,9,9,-32768,でぇ,助動詞,,,,,方言,タイ,たい,*,*,*,*,*
ごで,9,9,-32768,ごで,助動詞,,,,,方言,ゴデ,だろう,*,*,*,*,*
ごど,9,9,-32768,ごど,助動詞,,,,,方言,ゴド,だね,*,*,*,*,*
すんな,9,9,-32768,すんな,助動詞,,,,,方言,スンナ,な,*,*,*,*,*
だ,9,9,-32768,だ,助動詞,,,,,方言,ダ,た,*,*,*,*,*
たごど,9,9,-32768,たごど,助動詞,,,,,方言,,た,*,*,*,*,*
だず,9,9,-32768,だず,助動詞,,,,,方言,ダズ,です,*,*,*,*,*
だっしゃ,9,9,-32768,だっしゃ,助動詞,,,,,方言,ダッシャ,です,*,*,*,*,*
